Sun Nov 27 07:01:14 EST 2016,   https://t.co/KBLKTP89Xi, | Myths and Facts About Obstructive Sleep Apnea|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of' 'sleep apnea' 'OSA' 'obstructive sleep apnea' 'snoring' 'sleep' 'sleep disorder' 'breathing']|, ||
Wed Jun 15 10:57:49 EDT 2016,   https://t.co/4plIsHjOUm, | Could More Whole Grains Help You Live Longer?|, |['whole grains' 'eating whole grains' 'lifespan' 'longevity' 'live longer' 'longer life' 'death' 'heart disease' 'cancer'] |, |MONDAY June 13 2016 (HealthDay News) -- Health experts have long urged people to swap their processed white grains for the whole-grain variety and new research suggests that advice might help you live longer. Researchers found that people who ate three or more servings of whole grains a day had a 20 percent reduced risk of premature death during the study period compared to those who ate fewer or no servings of whole grains. "The higher the whole grain intake the lower the death rate especially deaths from cardiovascular disease" said study author Dr. Qi Sun. He is an assistant professor of nutrition at the Harvard T.H. Chan School of Public Health in Boston. Whole grains are so named because they contain the entire grain kernel including bran (outer husk) germ (nutrient-rich core) and endosperm (middle layer). Whole-grain foods include whole-wheat flour oatmeal brown rice and whole cornmeal.  When grains are refined they have been milled and that process removes the bran and the germ as well as fiber iron and many of the B vitamins. White breads white rice and white flour are all refined grains according to the U.S. Department of Agriculture (USDA). Sun and his colleagues reviewed the findings of 12 published studies as well as data from the National Health and Nutrition Examination Surveys (NHANES). The studies included nearly 800000 men and women. The study populations were from the United States the United Kingdom and Scandinavian countries. The studies covered 1971 to 2010. Over the study periods there were almost 98000 deaths recorded. The study couldn't show a direct cause-and-effect relationship. But the review suggests that the risk of dying prematurely from heart disease and stroke dropped approximately 25 percent when people had three servings of whole grains (48 grams total) daily compared to those who ate fewer or no servings of whole grains. The risk of death from cancer appeared to decrease about 15 percent the study authors said. Sun said many possibilities can help explain why whole-grain consumption seemed to affect death risk. Whole grains are high in fiber so they can help regulate blood sugar and improve blood cholesterol levels which can lower the risk of heart disease and diabetes. Fiber also makes you feel full longer so you may eat fewer calories maintain a healthy weight and lower heart disease risk he added.|
Thu Apr 28 11:42:45 EDT 2016,   https://t.co/U0DoZsSLhT, | Critics Call on FDA to Ban Concentrated Caffeine|, |['caffeine' 'caffeine powder' 'concentrated caffeine' 'caffeine overdose' 'pure caffeine' 'liquid' 'inhaler' 'FDA' 'food and drug administration'] |, |April 27 2016 -- Concentrated caffeine products are a major public health hazard and should be banned by the U.S. Food and Drug Administration critics say. After two young men Logan Stiner and Wade Sweatt died from caffeine overdoses in 2014 the FDA started warning consumers about the products ABC News reported. But lawmakers and advocates want the FDA to ban concentrated caffeine which can be bought online as a powder liquid or even an inhaler. The products are often marketed as health supplements with little or no warning about potency. One teaspoon of powdered pure caffeine is the equivalent of 25 cups of coffee according toABC News. On Tuesday the FDA said it has received no reports of adverse events associated with concentrated caffeine since it sent warning letters in August 2015 to five companies that produced the products. Lawmakers say they're upset that the FDA has not taken more action on the issue and fear that it will take more deaths for the agency to completely ban the products ABC Newsreported. "It's like an explosive a catastrophe waiting to happen" Sen Richard Blumenthal D-Conn. told reporters Tuesday. One of the groups calling for a ban on concentrated caffeine products is the Center for Science in the Public Interest (CPSI). "It is astonishing that a substance that is fatal for adults in the amount of two tablespoons is sold cheaply over the Internet as loose powder in large bags without clear warnings" Laura MacCleery the group's regulatory affairs director said in a statement. While the five companies targeted by the FDA stopped making the products that did not solve the problem. "After only a quick Google search we were able to order a small bottle of liquid caffeine from South Korea that contains an astonishing 9000 milligrams of caffeine -- enough to kill nearly seven people -- and yet the label says only to use it 'sparingly' " MacCleery said. "We easily purchased large bags of pure powder sufficient to kill several dozen people and a gallon jug of what looks like water but is actually a highly caffeinated liquid -- a cup of which would be a fatal dose" she added. "A ban on such products would allow enforcement action against any company selling it -- not just the five that received a warning letter" MacCleery explained. "It would mean that such products could be seized by Customs at the border. It would also send a far clearer signal to the public about the risks. Any action less than a ban would be confirmation that FDA has lost its way" she concluded.|
Mon Sep 12 08:08:45 EDT 2016,   https://t.co/W3rHjSKjRI, | How to Burn Off the Foods You Love|, |['Calories' 'exercise' 'fat' 'weight loss' 'obesity']|, ||
Tue Apr 05 11:52:49 EDT 2016,   https://t.co/eqxNcAOmNZ, | error|, |['prostate cancer' 'prostate' 'cancer' 'early stage prostate cancer' 'radiation' 'shorter radiation' 'intensive radiation' 'treating prostate cancer'] |, |MONDAY April 4 2016 (HealthDay News) -- A slightly higher dose of radiation therapy for early stage prostate cancer may reduce treatment time without compromising effectiveness researchers report. The study included about 1100 men with early-stage prostate cancer that had not spread beyond the gland. Half received the traditional radiation therapy program of 41 treatments over eight weeks while the others received slightly higher doses during 28 treatments over about 5.5 weeks. After five years cancer-free survival rates were just over 85 percent for those in the traditional group and just over 86 percent for those in the shorter treatment group while overall survival rates were 93.2 percent and 92.5 percent respectively. "This study has implications for public policy" said lead investigator Dr. W. Robert Lee. He is a professor at the Duke Cancer Institute's department of radiation oncology in Durham N.C. "Because the shorter regimen has advantages such as greater patient convenience and lower costs it's important to establishing whether we can cure as many patients with the shorter regimen. Our study provides that information for the first time" he added in a university news release. "An estimated 220000 men are expected to be newly diagnosed with prostate cancer each year in the United States and the majority will have early-stage disease at low risk for recurrence" Lee said. The study published April 4 in the Journal of Clinical Oncology was partly funded by the U.S. National Institutes of Health and the U.S. National Cancer Institute.|
Wed Oct 12 08:00:34 EDT 2016,   https://t.co/Lk7EoTEtAj, | No-Knife Cosmetic Fixes: Before and After Pictures|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of non-invasive cosmetic procedures' 'before and after pictures of botox' 'before and after pictures of Chemical Peel' 'before and after pictures of Cosmetic Filler' 'before and after pictures of Lip Filler' 'before and after pictures of Microdermabrasion' 'before and after pictures of Thermage' 'before and after pictures of Nonablative Laser' 'before and after pictures of intense' 'pulse light' 'before and after pictures of IPL' 'non-surgical procedures for the face' 'Restylane' 'collagen' 'diode laser']|, ||
Tue Oct 25 15:00:27 EDT 2016,   https://t.co/vnGbAajw6N, | 8 Simple Snacks That Won't Spike Your Blood Sugar|, |['Diabetes' 'low-carb snacks' 'low-carb diet' 'blood glucose control']|, ||
Fri Apr 29 12:59:51 EDT 2016,   https://t.co/fEDxoVJsdE, | error|, |['teens' 'teenagers' 'adolescents' 'sex' 'teen births' 'teen mothers' 'birth control' 'contraceptives'] |, |THURSDAY April 28 2016 (HealthDay News) -- The teen birth rate in the United States has reached an all-time low driven by dramatic declines among black and Hispanic teens according to a new government report. Overall the birth rate for teens aged 15 to 19 declined 41 percent between 2006 and 2014 -- dropping from 41.1 live births per 1000 females down to 24.2 according to the U.S. Centers for Disease Control and Prevention.  The greatest declines occurred for Hispanic teens and black teens where the rates fell by 51 percent and 44 percent respectively the CDC said. The birth rate for white teens declined by 35 percent. "That's really helped reduce the gap between minority teens and white teens in this country when it comes to teen birth rates" said report co-author Shanna Cox. She is associate director for science in the CDC's Division of Reproductive Health. Any decline in teen birth rates is good news for American society said Dr. Jennifer Wu an obstetrician-gynecologist at Lenox Hill Hospital in New York City. "Teenage pregnancies have a higher rate of poor outcomes" Wu said. "Often these pregnancies are unintended and the mothers face various socioeconomic disadvantages. Teenagers often do not access good prenatal care and this can have a huge impact on the pregnancies." Cox said a "one-two punch" is responsible for the continued decline in teen birth rates. The first "punch" is the promotion and use of effective birth control particularly the increased use of long-acting reversible contraceptives including IUDs and implants she said.  IUD and implant use increased from less than 1 percent of teens in 2005 to 7 percent in 2013 according to the CDC. "These devices have a very very low rate of failure and they only have to be inserted once" Cox explained. The second "punch" is that fewer teens are having sex and are tending to delay the start of sexual activity Cox said. About 53 percent of teens reported in 2013 that they'd never had sex an increase from 1991 when 46 percent said they'd never had sex she said.|
Wed Apr 06 12:53:29 EDT 2016,   https://t.co/4R23v3kJFM, | Weight-Loss Surgery Gets People Moving: Study|, |['weight loss surgery' 'bariatric surgery' 'obese' 'obesity' 'pain symptoms' 'movement' 'walking ability' 'exercise' 'joint pain' 'knee pain' 'gastric bypass'] |, |TUESDAY April 5 2016 (HealthDay News) -- Weight-loss surgery seems to help ease joint pain and improve mobility in the long run new research suggests. "Previous studies have reported improvement in pain and function [after weight-loss surgery]" said study author Wendy King an associate professor of epidemiology at the University of Pittsburgh. However most of those studies only followed people for a year after their procedure she added. "We found through three years of follow-up that depending on the measure 50 to 75 percent of adults with severe obesity who had bariatric [weight-loss] surgery experienced clinically significant improvements in pain physical functioning and walking time" she said. "Our findings reinforce the findings of shorter-term studies." King's team evaluated more than 2200 men and women who had weight-loss surgery at one of 10 hospitals across the United States. The patients' median age was 47 and their median body mass index (BMI) was more than 45 which is considered severely obese. Most had the operation known as gastric bypass which reduces the size of the stomach. At the start of the study 44 percent could not walk a quarter mile in seven minutes a commonly used measure for assessing mobility King said. After three years only 26 percent could not she added. And about three-fourths of those with severe hip or knee pain or disability had improvement in symptoms of osteoarthritis by the third year the study found. More improvement was seen in men those who were younger those who had higher incomes and those who had lower BMIs. Patients with fewer depression symptoms less leg swelling and no diabetes at the study's start also saw greater gains in mobility. At the three-year mark the patients weighed on average 28 percent less than they did before their surgery the researchers found. The findings were published April 5 in the Journal of the American Medical Association. Why was there such an impact on pain and function? "Excess weight-bearing leads to joint damage and that leads to pain and that leads to restriction in activity" King explained.|
Sun May 15 10:14:00 EDT 2016,   https://t.co/z9x5sy6HxX, | error|, |['']|, ||
Tue Aug 16 10:17:08 EDT 2016,   https://t.co/SIcSMo0U0P, | Quiz: What Do You Know About Our Weird Body Parts?|, |['quizzes' 'questions' 'body parts' 'weird body parts' 'polydactyly' 'polythelia' 'extra nipple' 'extra finger' 'conjoined twins' 'epiglottis' 'syndactyly' 'webbed fingers' 'heterochromia' 'Spock\xe2\x80\x99s ear' 'lazy eye' 'clubfeet']|, ||
Thu Sep 08 15:50:48 EDT 2016,   https://t.co/C8FqMcONc3, | error|, |['COPD' 'chronic pulmonary obstructive disease' 'COPD deaths' 'COPD death rates' 'CDC' 'centers for disease control and prevention'] |, |THURSDAY Sept. 8 2016 (HealthDay News) -- Fewer Americans are dying from chronic obstructive pulmonary disease (COPD) but not black women and the middle-aged a new government report shows. Between 2000 and 2014 there was a 12 percent overall drop in deaths from the progressive lung disease according to the U.S. Centers for Disease Control and Prevention. Report co-author Hanyu Ni said the figures aren't unexpected noting that "the declines in the COPD-related mortality are consistent with declines in the prevalence of current smoking for men and women in the United States." But Ni added the study only quantified death rate trends and didn't look at the reasons behind those trends. Ni is an associate director for science with the CDC's division of vital statistics at the U.S. National Center for Health Statistics. Dr. David Mannino who's with the University of Kentucky's College of Public Health agreed that the study "results are not surprising." He too cited the nationwide decline in smoking the number one cause of COPD. "Smoking is the biggest factor driving COPD deaths in the U.S." said Mannino a professor of medicine in the division of pulmonary critical care and sleep medicine.  Chronic obstructive pulmonary disease is a progressive disease of the airways that makes it difficult to breathe. COPD includes emphysema and chronic bronchitis. It's the third biggest killer in the United States and most people with COPD are current or past smokers according to the U.S. National Heart Lung and Blood Institute. For the study Ni's team reviewed data collected by the National Vital Statistics System between 2000 and 2014. The report painted a mixed picture of risk. For example while men saw their COPD fatality rate drop by nearly 23 percent women saw their rate fall by just 4 percent. Age also played a role. Men between the ages of 65 and 84 saw their death rate drop by nearly 30 percent while those 85 and older saw their rate dip by 23 percent. But for men between 45 and 64 the death rate rose by nearly 13 percent.|
Sun Apr 10 19:43:01 EDT 2016,   https://t.co/Dbbc8nDLVr, | Foods That Help or Harm Your Sleep|, |['slideshow' 'slide show' 'caffeine' 'alcohol' 'nicotine' 'carbohydrates' 'protein' 'tryptophan' 'tyrosine' 'foods to help you sleep' 'which foods affect sleep' 'sleep-inducing foods' 'sleep-friendly foods' 'foods that hurt your sleep' 'insomnia']|, ||
Fri Jul 08 11:22:47 EDT 2016,   https://t.co/262CkOuBos, | error|, |['advanced prostate cancer' 'gene test' 'inherited genetic flaws' 'men' 'family risk'] |, |WEDNESDAY July 6 2016 (HealthDay News) -- Men with prostate cancer that has spread to other parts of their body should be considered for genetic testing a new study suggests. Testing for inherited abnormalities in DNA repair genes could provide patients and family members important information about their health and cancer risk the study authors said. "With the exception of some cancer syndromes in children prostate cancer is the most heritable of human malignancies" said the study's co-lead author Dr. Michael Walsh. He is a geneticist and pediatric oncologist at Memorial Sloan Kettering (MSK) Cancer Center in New York City. "Historically the main benefit of identifying cancer-causing mutations has been prevention and early detection in families. Now we can use inherited genomic information to target treatment with specific therapies shown to be effective in those with specific genomic subsets of prostate cancer" Walsh said in a cancer center news release. The research team found a link between advanced prostate cancer and mutations in DNA repair genes.  The mutations occur far more often in men with advanced disease than in those with prostate cancer that hasn't spread the study authors said. In addition men with the abnormal repair genes are more likely to have close relatives with cancers other than prostate cancer compared to men without the mutations. These findings could help identify families that are at high risk for cancer and help prevent it in future generations the researchers said. The findings are of interest for two reasons study co-senior author Dr. Kenneth Offit said in the news release. Offit is chief of clinical genetics and head of the Niehaus Center for Inherited Cancer Genomics at Memorial Sloan Kettering. "First these findings potentially change clinical practice because we now show that testing for these DNA repair genes should be offered to all men with advanced prostate cancer" he said. "The second important finding is that we see clusters of cancers other than prostate breast ovarian and pancreatic in these families that were not expected and that will stimulate further research." More study is needed to determine whether abnormal DNA repair genes could help predict disease outcomes the scientists said. The study team consisted of researchers from Memorial Sloan Kettering Cancer Center Fred Hutchinson Cancer Research Center in Seattle Dana-Farber Cancer Institute in Boston the University of Washington School of Medicine the University of Michigan and the Institute of Cancer Research London. The findings were published online July 6 in the New England Journal of Medicine.|
Fri Aug 19 10:35:36 EDT 2016,   https://t.co/cLhIrSNIIm, | Possible Local Zika Cases in Miami Beach|, |['Miami' 'Miami Beach' 'Florida' 'zika' 'zika infection' 'zika cases' 'zika virus' 'mosquitoes' 'travel' 'pregnant' 'microcephaly' 'birth defects'] |, |FRIDAY Aug. 19 2016 (HealthDay News) -- Federal and state officials are considering an advisory that pregnant women not travel to Miami Beach or potentially all of Miami-Dade County after a cluster of Zika infections that were most likely transmitted locally were detected there. According to The New York Times an unidentified health official with knowledge of the situation said Thursday that officials were mulling such an advisory. Until now local transmission of mosquito-borne Zika -- which can cause devastating birth defects in babies -- has been restricted to a neighborhood in north Miami known as Wynwood. Florida health officials report there have been at least 28 local Zika infections in that locale and the U.S. Centers for Disease Control and Prevention has advised that pregnant women not travel to the area. A broader travel advisory for pregnant women could threaten tourism and heighten fears for pregnant women living in the Miami area. The Wynwood area remains the only spot in the continental United States known to have locally transmitted cases of Zika. The first such cases were reported there July 29 in four people. But on Thursday the Times' source told the newspaper that "a handful of cases" of possible local transmission involving people in "close proximity to each other" occurred in Miami Beach a prime tourist spot. The health official said that more details -- including any travel advisory for pregnant women -- would not be announced officially until Friday at the earliest the Times said. "Now that we have a second area of local transmission I think officials wouldn't be surprised to see in the coming weeks another area" the official added. "So in an effort to simplify things and get ahead there are discussions about expanding the area to possibly include the county or other parts of the Miami area." Jackie Schutz communications director for Florida Gov. Rick Scott said Thursday that public health officials "have not confirmed a new zone of active transmission" outside of Wynwood but "there are multiple cases being investigated." And Philip Levine the mayor of Miami Beach also told the Times that no confirmed cases had yet been reported in the city. But "there could be a link to Miami Beach" he said "We can expect to see Zika popping up here and there but it's not an epidemic."|
Sat Oct 22 21:30:08 EDT 2016,   https://t.co/AOt36AXelx, | 13 Worst Foods in Your Fridge|, |['non-dairy creamer' 'soda' 'energy drinks' 'white bread' 'processed meats' 'mayonnaise' 'hot dogs' 'gourmet ice cream' 'salad dressing' 'frozen fries' 'pickles' 'tonic water' 'margarine' 'diet soda' 'processed cheese' 'flavored yogurt']|, ||
Tue Apr 26 14:23:24 EDT 2016,   https://t.co/LTVlAXX6SC, | Gold Emblem Tea Recalled by CVS|, |['tea recall' 'gold emblem tea recalled' 'CVS' 'gold emblem tea' 'salmonella' 'recall'] |, |April 26 2016 -- Potential salmonella contamination has led CVS Pharmacy to recall some cases of 1.4-ounce cartons of Gold Emblem Abound Organic Spiced Herbal Tea. The recalled products have a best by date of 18 Mar 2018 and the UPC code 0 50428 541043. The tea was sold at CVS Pharmacy stores across the United States. Some of the tea was sold before the recall was announced and the product was removed from CVS stores but the company said it does not know of any cases of illness related to the tea. Consumers who bought the tea should not use it and can return it to CVS for a refund. For more information call CVS at 1-800-746-7287.|
Tue Jul 12 16:37:03 EDT 2016,   https://t.co/uWAKyZEDx1, | Nip and Tuck: Plastic Surgery for Men|, |['Plastic surgery men' 'hair transplant' 'facelift' 'breast reduction' 'microdermabrasion' 'liposuction']|, ||
Mon Oct 10 13:30:24 EDT 2016,   https://t.co/XAXcxq0Lnf, | What You Should Know About Bipolar Disorder|, |['bipolar 1' 'bipolar 2' 'bipolar disorder' 'mixed bipolar disorder' 'manic depression']|, ||
Wed Aug 17 12:00:36 EDT 2016,   https://t.co/wju5XSSW8U, | Quiz: All About Inches|, |['how can i lose weight' 'how to lose weight' 'how to lose inches' 'belly fat' 'abdominal fat' 'lose inches' 'trim your waistline' 'waist size' 'burn calories' 'burning calories' 'burning fat' 'spot reducing' 'metabolic rate' 'lean muscle mass']|, ||
Sun Sep 25 22:43:45 EDT 2016,   https://t.co/xyELiNmXqj, | Top Problems in Your Mouth|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'mouth' 'oral care' 'tongue' 'pictures of mouth problems' 'teeth problems' 'oral health' 'oral diseases' 'mouth sores' 'mouth ulcers' 'sores in mouth' 'mouth problems' 'mouth blisters' 'sore mouth' 'mouth pain' 'mouth infection' 'sore in mouth' 'cold sores' 'cold sore treatment' 'cole sore remedies' 'black tongue' 'swollen tongue' 'tongue sores' 'canker sores' 'gingivitis' 'bleeding gums' 'swollen gums' 'sore gums' 'receding gums' 'periodontal disease' 'leukoplakia' 'oral cancer' 'mouth cancer' 'bad breath' 'halitosis' 'lichen planus' 'hyperkeratosis' 'temporomandibular joint' 'TMJ' 'aphthous ulcers']|, ||
Thu Jun 30 13:24:05 EDT 2016,   https://t.co/uV7gpt7IQX, | Pet Treats Dos and Don'ts Slideshow|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of fat cats' 'pictures of fat dogs' 'pictures of kittens' 'dog treats' 'dog bones' 'dog biscuits' 'homemade dog treats' 'liver treats' 'cat treats' 'catnip' 'milk' 'chocolate' 'garlic' 'alcohol' 'chihuaha' 'bull dog' 'orange tabby cat']|, ||
Sun Sep 18 10:17:14 EDT 2016,   https://t.co/mGgvJelWJT, | error|, |['exercise' 'lack of exercise' 'physical fitness' 'physical activity' 'older adults' 'falls' 'broken bones' 'disease' 'early death'] |, |THURSDAY Sept. 15 2016 (HealthDay News) -- More than one-quarter of Americans over 50 don't exercise a new federal report estimates increasing their risk for heart disease diabetes and cancer. "Adults benefit from any amount of physical activity" said study co-author Janet Fulton. "Helping inactive people become more physically active is an important step towards healthier and more vibrant communities." Fulton is chief of the Physical Activity and Health Branch at the U.S. Centers for Disease Control and Prevention. For the study the researchers analyzed results of a 2014 national survey about health focusing on people aged 50 and older. The investigators defined inactivity as moving around only to accomplish routine daily duties. Based on that definition 31 million older Americans are inactive -- just over 29 percent of women and nearly 26 percent of men. One-third of Hispanics and blacks were inactive the findings showed. That compared with 26 percent of whites and 27 percent of people in other racial and ethnic groups. The older Americans get the less exercise they get according to the study. Thirty-five percent of people aged 75 and older were inactive as were 27 percent of those between 65 and 74 and 25 percent of those aged 50 to 64. Southerners were least likely to exercise: 30 percent were inactive. In comparison 28 percent of older people in the Midwest 27 percent in the Northeast and 23 percent in the West were inactive. Colorado had the most active older Americans with 82 percent getting daily exercise. People in Arkansas were the least active with only 61 percent getting daily exercise according to the report. People carrying extra pounds were less likely to be active while those with more education were more apt to exercise the study found. And not surprisingly people with a chronic disease were more inactive (32 percent) than those who were not ill (19 percent). Physical activity can boost life span and lower the risk of conditions such as heart disease type 2 diabetes dementia and some kinds of cancer according to the CDC. And among older people exercise also can reduce the risk of falls and broken bones. "More work is needed to make it safer and easier for people of all ages and abilities to be physically active in their communities" lead author Kathleen Watson said in a CDC news release. Watson is an epidemiologist in the CDC's Division of Nutrition Physical Activity and Obesity. The report was published in the Sept. 15 issue of the CDC's Morbidity and Mortality Weekly Report.|
Thu Aug 18 18:03:29 EDT 2016,   https://t.co/QFUaI3U7eV, | The Future of Vaccines|, |['vaccines' 'vaccinations' 'cancer' 'cancer vaccines' 'immune system' 'immunotherapy' 'heart disease' 'atherosclerosis' 'cholesterol' 'autoimmune disease' 'inflammation' 'rheumatoid arthritis']|, ||
Wed May 04 11:30:46 EDT 2016,   https://t.co/0ALa2y3Pt1, | Too Many People Still Take Unneeded Antibiotics|, |['antibiotics' 'antibiotic overuse' 'antibiotic prescriptions' 'infections antibiotics' 'too many antibiotics'] |, |TUESDAY May 3 2016 (HealthDay News) -- Nearly one-third of the antibiotics prescribed in the United States aren't appropriate for the conditions being treated a new federal government study shows. "We were able to conclude that at least 30 percent of the antibiotics that are given in doctors' offices emergency departments and hospital-based clinics are unnecessary meaning that no antibiotics were needed at all" said lead researcher Dr. Katherine Fleming-Dutra. Such misuse has helped fuel the rise of antibiotic-resistant bacteria which infect 2 million Americans and kill 23000 every year said Fleming-Dutra a pediatrician and epidemiologist at the U.S. Centers for Disease Control and Prevention. Antibiotics are most misused in the treatment of short-term respiratory conditions such as colds bronchitis sore throats and sinus and ear infections the researchers reported. "About half of antibiotic prescriptions for acute respiratory conditions were unnecessary" Fleming-Dutra said. In this study Fleming-Dutra and her colleagues analyzed more than 184000 outpatient visits reported in a 2010-2011 national medical care survey. Of those sampled visits nearly 13 percent resulted in antibiotic prescriptions. About 262 million outpatient antibiotic prescriptions were dispensed in 2011 in the United States but until now no one knew how many of those prescriptions were inappropriate she said. To assess misuse of antibiotics the researchers relied on national treatment guidelines to look for conditions that should never be treated using antibiotics such as the common cold sore throats caused by viral infections and bronchitis. "Nobody should be giving antibiotics for the common cold" Fleming-Dutra said. "It gets better without antibiotics." The investigators also included bacterial infections that can clear up on their own without the help of antibiotics such as sinus and ear infections. In those cases the researchers relied on regions that already are exercising good antibiotic control as a national benchmark for how often antibiotics should be used to treat these conditions. Collectively acute respiratory conditions led to 221 antibiotic prescriptions annually for every 1000 people but only 111 prescriptions were deemed appropriate for these conditions the study authors said.|
Wed Jun 15 15:41:08 EDT 2016,   https://t.co/IkH5xs7FEK, | Slideshow: Erectile Dysfunction Causes|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of erectile dysfunction' 'erection' 'penis' "men's health" 'low sex drive' 'libido' 'impotence' 'depression' 'relationships']|, ||
Mon Apr 18 17:13:02 EDT 2016,   https://t.co/lZ2o92GycT, | Slideshow: A Visual Guide to Kidney Stones|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'kidney stone' 'pictures of kidney stones' 'symptoms of kidney stones' 'back pain' 'bladder' 'kidney' 'urinate' 'water' 'side pain' 'blood in urine' 'kidney stone symptoms' 'causes' 'dehydration' 'calcium stones' 'struvite' 'cystine' 'lithotripsy' 'alpha-blockers' 'ureteroscopy' 'high-oxalate foods' 'home care for kidney stones' 'passing kidney stones']|, ||
Thu Nov 24 21:30:07 EST 2016,   https://t.co/DrK0MwOSIy, | Foods That Help Fight Depression|, |['Depression' 'food' 'diet' 'brain' 'tryptophan' 'coffee' 'vitamin D' 'folate' 'selenium' 'serotonin' 'beta carotene']|, ||
Sat Sep 24 15:00:23 EDT 2016,   https://t.co/Sgz8PbTDi8, | Drug-Resistant Gonorrhea a Growing U.S. Threat|, |['gonorrhea' 'STD' 'antibiotic resistance' 'drug resistant gonorrhea' 'new drug'] |, |WEDNESDAY Sept. 21 2016 (HealthDay News) -- Gonorrhea appears to be developing resistance to the two antibiotics that constitute the last available treatment option for the sexually transmitted bacteria U.S. health officials announced Wednesday. Gonorrhea samples taken last spring from seven patients in Honolulu showed resistance to azithromycin at dramatically higher levels than typically seen in the United States the U.S. Centers for Disease Control and Prevention reported at its STD Prevention Conference in Atlanta. Five of the samples also showed increased resistance to ceftriaxone the antibiotic given alongside azithromycin in the dual regimen recommended by the CDC. This is the first cluster of cases to show increased resistance to both azithromycin and ceftriaxone said Dr. Jonathan Mermin director of CDC's National Center for HIV/AIDS Viral Hepatitis STD and TB Prevention. Data published by the CDC earlier this year showed evidence of emerging azithromycin resistance in gonorrhea samples found across the nation but those infections were still susceptible to ceftriaxone. "Our last line of defense against gonorrhea is weakening" Mermin said in a statement. "If resistance continues to increase and spread current treatment will ultimately fail and 800000 Americans a year will be at risk for untreatable gonorrhea." The news isn't all bleak however. At the same conference researchers from Louisiana State University reported on an experimental oral antibiotic currently being tested that could offer a new option for treating gonorrhea. Gonorrhea is a bacterial infection that spreads through unprotected vaginal anal and oral sex. More than 350000 new cases were reported in the United States in 2014 according to the CDC. But the agency believes that the exact number is much higher. Young people especially those under 24 appear to be most at risk of gonorrhea the CDC said. Gonorrhea can cause burning and painful urination in men along with yellow or green discharge from the penis and swollen or painful testicles according to the CDC. Most women with gonorrhea either have mild symptoms or none at all and the disease is frequently mistaken for a bladder or vaginal infection the CDC said.|
Sat Sep 17 09:19:11 EDT 2016,   https://t.co/snQyDdZkse, | Quiz: Test Your Hair Coloring Know-How|, |['hair dye' 'hair color' 'temporary hair color' 'permanent hair color' 'henna' 'gray hair' 'grey hair' 'pregnant' 'ammonia' 'PPD' 'lead acetate' 'allergic' 'hair dye and cancer' 'quizzes' 'questions']|, ||
Fri Sep 16 16:00:13 EDT 2016,   https://t.co/ZMARnRicq3, | error|, |['']|, ||
Sat Aug 20 14:01:41 EDT 2016,   https://t.co/L2wzJbvj1E, | Slideshow: Surprising Reasons You're in Pain|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of pain triggers' 'low back pain' 'sciatica' 'neck pain' 'arthritis' 'headaches' 'migraine' 'eye strain' 'teeth grinding' 'wrist pain' 'sex' 'stress']|, ||
Fri Aug 12 12:02:18 EDT 2016,   https://t.co/MKmnMTpePA, | U.S. Kids Don't Make the Grade on Heart Health|, |['kids' 'children' 'child' 'diet' 'exercise' 'heart health' 'heart disease' 'American Heart Association'] |, |THURSDAY Aug. 11 2016 (HealthDay News) -- Most American children fall short of ideal heart health a new American Heart Association scientific statement says. An analysis of 2007-08 federal government survey results found that about 91 percent of youngsters did not have healthy diets. Those between the ages of 2 and 19 get most of their calories from simple carbohydrates such as sugary drinks and desserts. "A primary reason for so few children having ideal cardiovascular health is poor nutrition" statement author Dr. Julia Steinberger said in an association news release. "Children are eating high-calorie low-nutrition foods and not eating enough healthy foods such as fruits vegetables whole-grains fish and other foods strongly associated with good heart health and a healthy body weight."  Lack of physical activity is another concern. Among 6- to 11-year-olds half of boys and about a third of girls got the recommended 60 minutes or more a day of exercise. Between 16 and 19 years of age those percentages plummeted to 10 percent of boys and 5 percent of girls. Not surprisingly kids have packed on the pounds. About 10 percent of 2- to 5-year-olds were obese compared to between 19 percent and 27 percent of 12- to 19-year olds. About a third of the older kids had tried a cigarette. Nearly all the children had ideal blood pressure. And most had ideal cholesterol and blood sugar levels though not as good as blood pressure levels according to the statement published Aug. 11 in the journal Circulation. Overall the findings show that instead "of taking a wait-and-see approach by treating disease later in adulthood we should help children maintain the standards of ideal cardiovascular health that most children are born with" said Steinberger director of pediatric cardiology at the University of Minnesota. "It's much harder to turn back the clock" she added.|
